headline_quote,best_body_sentence,best_body_quote,label,best_quote_sim,best_sim,quote_len,ctx_len,n_votes,majority_pred,easy_correct,easy_wrong,hard
"We can sell anything, from your gumboots to your farm","“They can sell almost anything a farmer needs, from livestock, implements and vehicles to the farm itself,” says one of their satisfied customers.","They can sell almost anything a farmer needs, from livestock, implements and vehicles to the farm itself,",1,0.7406,0.7199,10,71,6,1,True,False,False
wanted to fire candidates based on their looks,To say that candidates are chosen purely for their looks or single lines on their CV is not true.” Reuse content,Do you think you could find it in your heart to not get rid of the blonde just yet?,1,0.4242,0.7388,8,34,6,1,True,False,False
We need to burn down Arab villages - this is war!,"Later that day Grinshpan added: “The fate of Haifa and Jerusalem will be the fate of [the Arab city of] Umm El-Fahm – burn them in revenge, those bastards.” “Just burn Arab villages in revenge; this is war,” added Grinshpan, “for all the leftists who believe in peace, know that the Palestinian Authority is happily calling for more places [in Israel] to be torched.” Then, on Friday, Grinshpan appeared to praise some reprisal arsons against Arabs, though it is unclear which, if any, incidents he was referring.","Just burn Arab villages in revenge; this is war,",1,0.8812,0.5797,11,133,1,0,False,False,True
most dangerous president of all time,I think he could be one of the most dangerous presidents to ever come into the Oval Office.,"I didn’t vote for him. If it’s going to get bad, [Donald Trump] could bring out the worst in us. I think he could be one of the most dangerous presidents to ever come into the Oval Office. We have to watch him carefully, but also focus on each other and make this work,",1,0.6629,0.8564,6,55,6,1,True,False,False
Those who wanted us out are disappointed,"“Some people who wanted to discourage us, who wanted us out of the race, who wanted our voices not to be heard; we want them to know that they have not succeeded,” he said.","Some people who wanted to discourage us, who wanted us out of the race, who wanted our voices not to be heard; we want them to know that they have not succeeded,",1,0.6856,0.6574,7,90,2,0,False,False,True
I thought they would be safe,"“I felt they would be as safe with him as they would be with me,” Mandy Trecartin told Jean-Claude Savoie’s criminal negligence trial in Campbellton, N.B., on Wednesday.","I felt they would be as safe with him as they would be with me,",1,0.7388,0.5997,6,69,6,1,True,False,False
Birth control is a political act,"“For the past eight years, we’ve seen expanded healthcare and more acknowledgement of reproductive rights – but I remember how tense things were under George Bush.","Contraception is a feminist issue,",1,0.7646,0.5544,6,70,5,1,False,False,True
My wife belongs in the kitchen,"He responded by reminding Nigeria’s first lady where her place was: in his kitchen, his living room and “the other room”.","in his kitchen, his living room and ""the other room""",1,0.0,0.5948,6,72,6,1,True,False,False
I Almost Died Of Prostate Cancer And Painful Ejaculation,"""I would like to share my story with you as regards how I almost died from prostate cancer.",I would like to share my story with you as regards how I almost died from prostate cancer.,1,0.0,0.7977,9,46,6,1,True,False,False
because riders might see into school dorms,"""A suitable location for the Ferris Wheel was agreed with its operator and Manchester City Council in advance, and we are grateful that they have now arranged to move the ride into this agreed position in order to maintain the safety of students, staff and visitors to Chetham’s School and Library.”","Vickers Gate, on the corner of Victoria Street leading into the yard of Chetham’s School of Music, is one of the emergency access points for the School and we are required to maintain a turning circle outside it for emergency vehicles.",1,0.3956,0.428,7,122,6,1,True,False,False
I will totally accept the results...if I win,"“I would like to promise and pledge to all of my voters and supporters and to all of the people of the United States that I will totally accept the results of this great and historic presidential election,” he said.","I would like to promise and pledge to all of my voters and supporters and to all of the people of the United States that I will totally accept the results of this great and historic presidential election,",0,0.5542,0.5164,8,95,5,1,False,False,True
BDA is hiding more than what it reveals,"“While the chief minister repeatedly claims that the project is being undertaken in a transparent manner, the BDA has been hiding more than what it reveals.” However, a senior BDA official said that they had nothing to hide and more information will be made public soon.","While the chief minister repeatedly claims that the project is being undertaken in a transparent manner, the BDA has been hiding more than what it reveals.",0,0.7562,0.7775,8,79,0,0,True,False,False
"I heard screams, then I saw people jump from the balcony","My mum woke me up, then I saw people jump from the balcony on the third floor, it was terrible,” Baraq Mohammed Ali, who also lives in the apartment block, told the TT newswire from his relatives' home, where he and his family took refuge.","I was asleep and heard screams. My mum woke me up, then I saw people jump from the balcony on the third floor, it was terrible,",0,0.8186,0.6893,11,93,4,1,False,False,True
one of the most outstanding in the state,"Cooley said VanBurskirk has been honored for “being one of the most outstanding teachers in the state of Ohio.” “There’s no doubt we push the arts in this district,” said Cooley, noting how prominent students’ artwork is displayed in the NHS hallways and gallery of the Ernsthausen Performing Arts Center.",being one of the most outstanding teachers in the state of Ohio.,0,0.5898,0.4429,8,83,1,0,False,False,True
"Evil exists, you just have to hang on.",We all struggle.,"Evil exists, but you just have to hang on and sometimes through all the pain, you can get grounded just by touching them.",0,0.8253,0.5088,8,15,6,1,False,True,False
Chocolate is like a paramour... coffee like the spouse or girlfriend,"“Chocolate is like a paramour with whom you have good moments, But coffee is like the spouse or girlfriend that you want with you every day.” A millennial Starbucks customer, who said if coffee prices rise, he’d rather cut back on eating chocolate than on his morning cup of joe.","Chocolate is like a paramour with whom you have good moments, But coffee is like the spouse or girlfriend that you want with you every day.",0,0.9096,0.8159,11,84,2,0,False,False,True
Maltese football is not confined to these four walls,“Maltese football doesn’t belong solely to us and it’s not confined to these four walls.,Maltese football doesn’t belong solely to us and it’s not confined to these four walls. What I can promise is my total commitment to use all my energy and knowledge for the good of the Maltese game.,0,0.745,0.8991,9,64,0,0,True,False,False
Every third or fourth car flies past,"""I've only been living here since May and every third or fourth car just flies past here really fast,” Mr Rolfe said.","I've only been living here since May and every third or fourth car just flies past here really fast,",0,0.6455,0.5798,7,101,2,0,False,False,True
Things are better for women on the high street today than when we started,"Things are very different and better for women on the high street today than when we started.” Tentatively, optimistically, I’d say that she is right.",It was also to make a bold statement that the high street needed to cater more to women beyond their 20s. It made people sit up and listen. Things are very different and better for women on the high street today than when we started.,0,0.8172,0.8789,14,50,0,0,True,False,False
most important in our history,Egypt assistant coach Osama Nabil says his country’s 2018 World Cup qualifier against Ghana is the ‘most important’ fixture in the history of the North African giants.,"Our match against Ghana is the most important in history of Egyptian football, we want to win the game in order to move a step closer to the World Cup,",0,0.4194,0.4954,5,50,3,1,False,False,True
"They raped us one by one,","""They tied both of us to the bed and raped us one by one,"" said 20-year-old Habiba, who has now found shelter with a Rohingya refugee family a few kilometres (miles) from the Bangladesh-Myanmar border.","They tied both of us to the bed and raped us one by one,",0,0.806,0.602,6,74,3,1,False,False,True
"in the 9th month, on the final day","In the ninth month, on the final day and that's not acceptable."" While Clinton has said she believes a fetus lacks constitutional rights, she did vote against a ban on late-term abortions in 2003 while serving as a senator from New York.","Because based on what she is saying, and based on where she's going and where she's been, you can take a baby and rip the baby out of the womb. In the ninth month, on the final day and that's not acceptable.",0,0.4031,0.358,8,157,5,1,False,False,True
Every day I think I could have killed someone.,"""Every day I think I could have killed someone,"" he said.","Every day I think I could have killed someone,",0,0.9906,0.8998,9,56,0,0,True,False,False
It is not a problem as I go to the bank everyday,"It is not a problem for me as I go to the bank everyday,” he said.","People keep giving me Rs. 500 and Rs. 1,000 notes and I keep accepting them. It is not a problem for me as I go to the bank everyday,",0,0.7384,0.9227,12,29,4,1,False,False,True
There is an outbreak of babies in the Irish community in Asia,"‘There is an outbreak of babies in the Irish community in Asia’ Players gathered for the GAA Asian Games in Shanghai are settling down in the region With the economy at home in Ireland improving, Asia is emerging a destination where Irish people are choosing to go to, said the players convened in Shanghai for the annual Fexco Asian Gaelic Games over the weekend.",I have a little boy now who is five weeks old. There is an outbreak of babies in the Irish community in Hong Kong right now.,0,0.8114,0.8147,12,89,4,1,False,False,True
We will reconfirm strong commitment to Afghanistan,"‘We will reconfirm strong commitment to Afghanistan’: Stoltenberg By Khaama Press - Tue Dec 06 2016, 5:47 pm “The ministerial will close with a meeting on Afghanistan and our Resolute Support mission.","The ministerial will close with a meeting on Afghanistan and our Resolute Support mission. We will reconfirm our strong commitment to Afghanistan’s security and we will get an update on the government’s reform agenda, which is essential for Afghanistan’s long-term stability and prosperity,",0,0.5685,0.8146,7,63,0,0,True,False,False
My agents told me to stop eating,"“My agents told me to stop exercising and stop eating,” she wrote in an essay for The Daily Dot.","My agents told me to stop exercising and stop eating,",0,0.9194,0.759,7,77,5,1,False,False,True
"He was a tough officer, handled pressure well","“He was a tough and efficient officer, who handled pressure well.","He was a tough and efficient officer, who handled pressure well. Even after a Lokayukta raid in 2012, in which he came out clean three years later, he remained strong,",0,0.8529,0.9765,8,54,2,0,False,False,True
"He was the joy behind my smile,",“He was the joy behind my smile.,"He was the joy behind my smile. But most importantly, he was my best friend,",0,0.8218,0.9885,7,30,1,0,False,False,True
best place for news on Trump,"Most Read Stories “We’re going to be the best place for news on the Trump White House,” Marlow said.","We’re going to be the best place for news on the Trump White House,",0,0.7399,0.6534,6,48,1,0,False,False,True
We have to be nimble and pragmatic,“We have had to be pragmatic and nimble.” Raja opened her factory a year ago and has been in talks with high street retailers and supermarkets about selling her crisps.,We have had to be pragmatic and nimble.,0,0.9594,0.6227,7,70,1,0,False,False,True
38.70 lakh cases pending in High Courts,"“As per information furnished, 38.70 lakh cases were pending in the High Courts, and 2.70 crore cases were pending in District and Subordinate Courts as on December 31, 2015,” according to the reply from the Ministry.","As per information furnished, 38.70 lakh cases were pending in the High Courts, and 2.70 crore cases were pending in District and Subordinate Courts as on December 31, 2015,",0,0.9486,0.9355,7,110,4,1,False,False,True
,"""Your co-operation (with police) is a matter of some importance,"" he said.","We trusted you with Jake, boy were we so wrong.",0,0.0299,0.1554,0,83,6,1,False,True,False
Food price inflation could be lethal for struggling millions,Tesco’s UK boss has warned that food price inflation could prove highly toxic for shoppers and lethal for those on a tight budget.,"Everybody should be very, very clear how damaging food inflation is to the economy, to retail businesses and manufacturing businesses and how lethal it could be for millions of people struggling to live from week to week.",0,0.7917,0.7151,9,112,0,0,True,False,False
This is a vote or die election,As for stressing the importance that persons get out and vote: “This is a vote or die situation.,"This is a vote or die situation. All you have to do is listen to what the candidates are saying and it will tell you that it is a vote or die situation,",0,0.8976,0.8184,7,95,1,0,False,False,True
can still hit 25 goals this term,"But former Hibs hitman McManus, who was at Stark’s Park last weekend to see Cummings fire a blank yet again in a no-scoring draw, insists the 21-year-old is still capable of claiming 25 Championship goals like he did last season.",It hasn’t been as easy as I thought it would be. After winning the first five I thought they would have it won by Christmas and said so on Twitter. It’s one of those tweets that you know might come back to haunt you – but I still expect them to win the league.,0,0.3551,0.6934,7,121,3,1,False,False,True
invisible and silent witness,"SmartWater is “a silent and invisible witness that means that offenders can be tracked back to that crime days, weeks, even years later,” Stawinski said Wednesday when the department announced the launch of the technology.","a silent and invisible witness that means that offenders can be tracked back to that crime days, weeks, even years later,",0,0.7135,0.4853,4,77,1,0,False,False,True
world leaders pub quiz,"But when asked to name the South Korean president, Johnson appeared to be stumped and said: “We are not getting into a pub quiz about the leaders around the world and I am going to, with great respect, invite you out to the pub, Dermot, so that we can take these conversations further.",a pub quiz about the leaders around the world,0,0.879,0.5113,4,93,4,1,False,False,True
a massive headache and real worry,"“It was a massive headache and a real worry for something that wasn’t my fault in the first place, and I was the one who had to sort it all out.” The Credit Services Association, the UK trade body for debt-collection firms, told Guardian Money it was unable to comment as it was a matter for HMRC.","It was a massive headache and a real worry for something that wasn’t my fault in the first place, and I was the one who had to sort it all out.",0,0.6235,0.4927,6,92,3,1,False,False,True
It is my obligation to work for Sharia every single day,"It is my obligation to work for it every single day,” he says.","Every Muslim has to want it and if we don’t even try to establish Sharia law in Muslim countries and then in non-Muslim countries we will be held to account for it. It is my obligation to work for it every single day,",0,0.7724,0.7455,11,63,1,0,False,False,True
"Today, the Supreme Court has replaced the Government and Army","Today, the Supreme Court has replaced the Government and Army'Otzma Yehudit is demonstrating at the house of the Chief Justice, following the Court's decision to delay the appointment of Rabbi Karim.","Today, the Supreme Court has replaced both the Government and the Army,",0,0.9903,0.799,10,86,4,1,False,False,True
