headline_quote,best_body_sentence,best_body_quote,label,best_quote_sim,best_sim,quote_len,ctx_len,n_votes,majority_pred,easy_correct,easy_wrong,hard
['한화그룹 비선조직이 비자금 조성 주도'],"// flash 오류를 우회하기 위한 함수 추가 function _flash_removeCallback() {} [동아일보] 檢, 금감원 자료 받아 조사 “한화증권 10여개 지점 동원… 모두 300억∼500억원 조성” 한화 “우리와 무관 휴면계좌” 檢, 금감원 자료 받아 조사 “한화증권 10여개 지점 동원… 모두 300억∼500억원 조성” 한화 “우리와 무관 휴면계좌” 한화그룹 비자금 조성의혹을 수사 중인 서울서부지검 특별수사팀은 5일 한화그룹 내부의 비선조직인 이른바 ‘장교동팀’이 비자금 조성을 주도했다는 금융감독원 조사 결과를 바탕으로 비자금 조성 경위 등을 조사하고 있다.",한화증권 10여개 지점 동원 모두 300억 500억원 조성,1,0.4507232308387756,0.6408079862594604,5,89,4,1,False,False,True
"['한국, 올해 국민소득 2만불 재돌파']",kmtoil@yna.co.kr @yonhap_graphics(트위터) IMF 한국 경제 전망 (서울=연합뉴스) 김토일 기자 = 6일 국제통화기금(IMF)은 최근 발표한 '한국 경제 연례 협의 보고서'에 따르면 우리나라의 1인당 명목 국민소득이 올해 2만달러 고지를 3년 만에 다시 돌파할 것으로 전망됐다.,올해 1인당 국민소득의 경우 2만달러 돌파는 무난할 것으로 예상하고 있다,1,0.5727522373199463,0.3589016199111938,5,77,1,0,False,False,True
['새해 경기회복 빨라진다'],"● 국책은행,“공공성 강화에 주력하겠다.” 국책은행,“공공성 강화에 주력하겠다.” 김창록 산업은행 총재는 “공공적 역할을 선도하겠다.”고 운을 뗐다.",경기회복 속도가 점차 빨라지고 있다 ,1,0.7566895484924316,0.5317443609237671,3,49,3,1,False,False,True
['반짝 늘던 매수문의 다시 잠잠'],목동의 W공인 관계자는 “대책 발표 직후 매수 문의가 반짝 있더니 이내 잠잠해졌다.”면서 “집값이 오른다는 기대감이 있어야 집을 살 텐데 일단은 좀더 지켜보겠다는 심리가 큰 것 같다.”고 말했다.,대책 발표 직후 매수 문의가 반짝 있더니 이내 잠잠해졌다 ,0,0.6196473240852356,0.5232272148132324,5,60,1,0,False,False,True
['올해 몸 조심해야 할 세력은...'],"금감원은 ""상장회사의 경영권 변동 직후 신규 사업 추진 보도 등으로 주가가 급격히 상승할 경우, 사업의 구체적 계획 수립 여부 및 자금, 설비 등 사업추진 준비상황을 확인하는 등 신중한 투자 판단이 필요하다""고 밝혔다.",상장회사의 경영권 변동 직후 신규 사업 추진 보도 등으로 주가가 급격히 상승할 경우 사업의 구체적 계획 수립 여부 및 자금 설비 등 사업추진 준비상황을 확인하는 등 신중한 투자 판단이 필요하다,1,0.3069627583026886,0.3349567949771881,5,75,6,1,True,False,False
"['5천500만원 이하 일부, 연말정산 세부담 증가']",답변하는 최경환 장관 (서울=연합뉴스) 진성철 기자 = 최경환 경제부총리 겸 기획재정부 장관이 2일 국회 예산결산특별위원회 전체회의에서 답변하고 있다.,아직 올해 연말정산 결과가 최종 취합은 안 됐지만 여러 가지 시뮬레이션이나 추정을 해 보면 연봉 5천500만원 이하의 전체 세 부담이 줄어드는 것은 분명하다,1,0.6706101894378662,0.628393828868866,6,64,6,1,True,False,False
['서민 술인데…올려? 말어?'],가격동결 선언한 '이제우린' 소주[맥키스 제공] 가격동결 선언한 '이제우린' 소주[맥키스 제공] 가격동결 선언한 '이제우린' 소주[맥키스 제공] 이처럼 지방 소주사들이 가격 인상에 선뜻 나서지 못하는 데는 소주가 서민의 술이라는 이미지가 강하기 때문이다.,위스키나 맥주 등 다른 주류 가격을 올릴 때는 여론이 뜨겁지 않지만 서민의 술인 소주 가격을 올릴 때는 찬반양론이 매번 크게 엇갈린다,1,0.5530441403388977,0.5683457851409912,3,62,4,1,False,False,True
['평범하게 살기 싫어서 돈이다'],"☞ [정현영의 벌어야 사는 사람들②-2] ""돈 없이도 행복하다는 말은 거짓이다"" ☞ [정현영의 벌어야 사는 사람들②-2] ""돈 없이도 행복하다는 말은 거짓이다"" 정현영 한경닷컴 기자 jhy@hankyung.com",솔직히 말해서 금융업계에 입사하면 소위 가족 돈 을 끌어오지 않을 수 없는 구조다 신입사원은 은행 카드 주식 펀드 등 영업해서 터야 할 계좌 수가 적어도 20 30개는 된다 나홀로 영업해서 계좌를 뚫어나갔다 ,0,0.5445261001586914,0.6786501407623291,4,29,6,1,False,True,False
['5호선 직결…강남行 황금노선 열린다'],"국비 1071억원, 시비 1607억원을 투입할 예정이다.",강동구 거주자 시각에서 보면 강남으로 가는 전철노선이 하나 새로 생기는 셈,1,0.5986759662628174,0.7352426052093506,4,20,3,1,False,False,True
['소주세율 인상 재추진해야'],"박 차관은 이 날 KBS1 라디오 `안녕하십니까 김인영입니다'에 출연, ""맥주세율은 낮추면서 위스키, 소주세율을 못 올리면 재원확보에 막대한 차질이 생긴다""면서 ""고도주는 경제 전체에 부담인 만큼 공청회 등을 통한 국민들의 양해를 구한 뒤 재추진해야 할 것""이라고 말했다.",소주세율 인상을 재추진해야 할 것,0,0.9889510273933412,0.7211586236953735,3,86,0,0,True,False,False
['근로자 평균월급 264만원…상위 1%는 1천835만원'],"윤 의원은 ""평균 소득 산출에 연봉이 100억을 넘는 슈퍼리치까지 포함된 만큼 일반 국민의 평균 연봉은 3천172만원(월 264만원)보다 적은 것으로 봐야 한다""고 말했다.",평균 소득 산출에 연봉이 100억을 넘는 슈퍼리치까지 포함된 만큼 일반 국민의 평균 연봉은 3천172만원 월 264만원 보다 적은 것으로 봐야 한다,1,0.7783657312393188,0.5548090934753418,5,41,4,1,False,False,True
